inquiry_id,report_id,bureau,inquiry_date,creditor_name
1,1,Experian,2021-01-15,Citi
2,1,TransUnion,2021-05-06,Wells Fargo
3,1,Experian,2021-02-08,Regions Bank
4,2,TransUnion,2020-10-31,Citi
5,2,TransUnion,2020-03-06,Toyota Motor Credit
6,2,Equifax,2021-01-09,American Express
7,3,Equifax,2022-11-14,Fifth Third
8,3,Experian,2022-09-19,American Express
9,3,Experian,2022-04-12,GTE Southwest
10,3,TransUnion,2022-12-14,Cavalry Portfolio
11,3,Experian,2022-09-17,LendingClub
12,4,Experian,2022-08-25,Verizon
13,4,Equifax,2022-09-20,GTE Southwest
14,4,Experian,2022-10-19,Truist
15,4,TransUnion,2022-09-13,GEMB/JCP
16,5,TransUnion,2023-05-18,TD Bank
17,5,Experian,2023-07-04,Wells Fargo
18,5,Equifax,2022-08-28,USAA
19,6,Equifax,2022-12-16,USAA
20,6,Experian,2023-03-06,Citi
21,6,TransUnion,2023-03-11,Navy Federal
22,6,Equifax,2023-01-09,Wells Fargo
23,6,TransUnion,2023-06-06,Citi
24,7,TransUnion,2022-07-03,American Express
25,7,Equifax,2022-11-23,GEMB/JCP
26,7,Experian,2022-08-23,Ford Motor Credit
27,8,Experian,2022-05-13,Santander
28,8,Experian,2022-07-05,Ford Motor Credit
29,9,Experian,2022-02-17,Cavalry Portfolio
30,9,TransUnion,2021-09-09,PNC Bank
31,9,TransUnion,2021-06-20,GTE Southwest
32,9,Experian,2021-09-14,Jefferson Capital
33,9,Equifax,2021-07-07,Navient
34,9,Experian,2021-05-30,Ford Motor Credit
35,10,TransUnion,2021-11-05,Toyota Motor Credit
36,10,TransUnion,2022-03-19,Verizon
37,10,Equifax,2022-05-07,GEMB/JCP
38,10,Equifax,2021-08-28,Synchrony
39,10,Experian,2021-10-18,LendingClub
40,10,Experian,2022-03-05,Verizon
41,10,TransUnion,2021-11-22,Discover
42,10,Equifax,2022-04-11,KeyBank
43,10,TransUnion,2022-05-17,Verizon
44,11,Experian,2021-12-08,Fifth Third
45,11,Experian,2022-08-08,Citi
46,11,Experian,2022-02-02,Barclays
47,11,Equifax,2022-01-30,Citi
48,12,TransUnion,2023-01-14,Rocket Mortgage
49,12,Equifax,2022-05-18,Citi
50,12,TransUnion,2023-03-07,Portfolio Recovery
51,12,Experian,2022-07-30,TD Bank
52,12,TransUnion,2022-06-27,AT&T
53,12,Experian,2022-12-15,Marcus by Goldman
54,12,TransUnion,2022-11-11,Cavalry Portfolio
55,12,TransUnion,2022-08-28,Midland Credit
56,12,Experian,2022-08-14,American Express
57,12,TransUnion,2023-02-06,Synchrony
58,13,Equifax,2021-05-14,TD Bank
59,13,TransUnion,2021-11-06,TD Bank
60,13,Experian,2021-08-13,Regions Bank
61,14,TransUnion,2022-01-30,SoFi
62,14,Experian,2022-03-13,Verizon
63,14,TransUnion,2022-04-08,Fifth Third
64,16,TransUnion,2019-09-24,Discover
65,16,Equifax,2019-05-26,GEMB/JCP
66,16,TransUnion,2019-11-13,GEMB/JCP
67,17,TransUnion,2020-07-10,USAA
68,18,TransUnion,2021-02-21,Marcus by Goldman
69,18,TransUnion,2021-03-15,Quicken Loans
