score_id,report_id,bureau,fico_score
1,1,Experian,700
2,1,TransUnion,712
3,1,Equifax,719
4,2,Experian,693
5,2,TransUnion,717
6,2,Equifax,718
7,3,Experian,600
8,3,TransUnion,576
9,3,Equifax,597
10,4,Experian,595
11,4,TransUnion,586
12,4,Equifax,593
13,5,Experian,573
14,5,TransUnion,561
15,5,Equifax,570
16,6,Experian,578
17,6,TransUnion,576
18,6,Equifax,576
19,7,Experian,803
20,7,TransUnion,824
21,7,Equifax,802
22,8,Experian,843
23,8,TransUnion,824
24,8,Equifax,826
25,9,Experian,408
26,9,TransUnion,425
27,9,Equifax,429
28,10,Experian,435
29,10,TransUnion,431
30,10,Equifax,409
31,11,Experian,398
32,11,TransUnion,396
33,11,Equifax,417
34,12,Experian,414
35,12,TransUnion,401
36,12,Equifax,437
37,13,Experian,716
38,13,TransUnion,707
39,13,Equifax,702
40,14,Experian,731
41,14,TransUnion,730
42,14,Equifax,733
43,15,Experian,763
44,15,TransUnion,750
45,15,Equifax,733
46,16,Experian,721
47,16,TransUnion,729
48,16,Equifax,696
49,17,Experian,711
50,17,TransUnion,695
51,17,Equifax,715
52,18,Experian,698
53,18,TransUnion,712
54,18,Equifax,700
55,19,Experian,556
56,19,TransUnion,540
57,19,Equifax,562
58,20,Experian,577
59,20,TransUnion,566
60,20,Equifax,564
61,21,Experian,582
62,21,TransUnion,594
63,21,Equifax,606
64,22,Experian,582
65,22,TransUnion,566
66,22,Equifax,582
67,23,Experian,684
68,23,TransUnion,677
69,23,Equifax,672
70,24,Experian,709
71,24,TransUnion,705
72,24,Equifax,706
73,25,Experian,583
74,25,TransUnion,597
75,25,Equifax,600
76,26,Experian,550
77,26,TransUnion,580
78,26,Equifax,554
79,27,Experian,843
80,27,TransUnion,832
81,27,Equifax,828
82,28,Experian,850
83,28,TransUnion,843
84,28,Equifax,834
85,29,Experian,628
86,29,TransUnion,637
87,29,Equifax,636
88,30,Experian,625
89,30,TransUnion,615
90,30,Equifax,609
91,31,Experian,754
92,31,TransUnion,129
93,31,Equifax,778
94,32,Experian,784
95,32,TransUnion,776
96,32,Equifax,778
97,33,Experian,746
98,33,TransUnion,750
99,33,Equifax,739
100,34,Experian,581
101,34,TransUnion,589
102,34,Equifax,607
103,35,Experian,648
104,35,TransUnion,633
105,35,Equifax,623
106,36,Experian,694
107,36,TransUnion,696
108,36,Equifax,715
109,37,Experian,698
110,37,TransUnion,712
111,37,Equifax,733
112,38,Experian,435
113,38,TransUnion,438
114,38,Equifax,459
115,39,Experian,497
116,39,TransUnion,501
117,39,Equifax,468
118,40,Experian,688
119,40,TransUnion,687
120,40,Equifax,659
121,41,Experian,699
122,41,TransUnion,667
123,41,Equifax,689
124,42,Experian,742
125,42,TransUnion,733
126,42,Equifax,738
127,43,Experian,721
128,43,TransUnion,737
129,43,Equifax,723
130,44,Experian,528
131,44,TransUnion,536
132,44,Equifax,525
133,45,Experian,457
134,45,TransUnion,454
135,45,Equifax,441
136,46,Experian,434
137,46,TransUnion,437
138,46,Equifax,439
139,47,Experian,583
140,47,TransUnion,588
141,47,Equifax,570
142,48,Experian,560
143,48,TransUnion,560
144,48,Equifax,549
145,49,Experian,552
